Date,Heure,Nbre_acariens_Suivis,Montee_Astigmates,Montee_Nymphes,Montee_Adultes,Descente_Astigmates,Descente_Nymphes,Descente_Adultes
2021-03-23,15:14:00,1,0,0,0,2,0,0
2021-03-23,15:14:36,0,2,0,0,3,0,0
2021-03-23,15:15:01,1,3,0,0,5,0,0
2021-03-23,15:15:06,1,5,0,0,6,0,0
2021-03-23,15:15:42,46,6,0,0,7,0,0
2021-03-23,15:15:45,62,9,0,0,7,0,0
2021-03-23,15:15:56,58,9,0,0,7,0,0
2021-03-23,15:16:00,30,9,0,0,9,0,0
2021-03-23,15:16:01,26,9,0,0,12,0,0
2021-03-23,15:16:02,24,9,0,0,14,0,0
2021-03-23,15:16:17,1,9,0,0,16,0,0
2021-03-23,15:17:34,1,11,0,0,17,0,0
2021-03-23,15:17:49,1,13,0,0,18,0,0
2021-03-23,15:18:04,1,13,0,0,20,0,0
2021-03-23,15:18:30,0,15,0,0,21,0,0
2021-03-23,15:18:45,1,15,0,0,23,0,0
2021-03-23,15:19:13,1,17,0,0,24,0,0
2021-03-23,15:19:36,74,17,0,0,25,0,0
2021-03-23,15:19:38,101,19,0,0,25,0,0
2021-03-23,15:19:39,120,19,0,0,28,0,0
2021-03-23,15:19:50,118,19,0,0,28,0,0
2021-03-23,15:19:58,9,21,0,0,28,0,0
2021-03-23,15:20:00,6,23,0,0,28,0,0
2021-03-23,15:20:01,3,26,0,0,28,0,0
2021-03-23,15:20:09,2,28,0,0,29,0,0
2021-03-23,15:21:12,1,29,0,0,31,0,0
2021-03-23,15:21:20,1,31,0,0,31,0,0
2021-03-23,15:21:24,2,31,0,0,33,0,0
2021-03-23,15:21:32,1,31,0,0,35,0,0
2021-03-23,15:21:34,0,33,0,0,35,0,0
2021-03-23,15:21:42,2,33,0,0,37,0,0
2021-03-23,15:21:57,1,35,0,0,38,0,0
2021-03-23,15:22:01,1,37,0,0,39,0,0
2021-03-23,15:22:07,2,39,0,0,39,0,0
2021-03-23,15:22:10,0,40,0,0,41,0,0
2021-03-23,15:22:21,2,42,0,0,42,0,0
2021-03-23,15:22:26,0,42,0,0,44,0,0
2021-03-23,15:22:35,1,44,0,0,45,0,0
2021-03-23,15:22:44,1,46,0,0,46,0,0
2021-03-23,15:22:47,2,46,0,0,48,0,0
2021-03-23,15:22:52,0,46,0,0,50,0,0
2021-03-23,15:22:56,1,48,0,0,50,0,0
2021-03-23,15:23:04,1,49,0,0,52,0,0
2021-03-23,15:23:05,4,49,0,0,54,0,0
2021-03-23,15:23:09,1,51,0,0,55,0,0
2021-03-23,15:23:16,1,53,0,0,55,0,0
2021-03-23,15:23:21,1,54,0,0,57,0,0
2021-03-23,15:23:25,4,56,0,0,58,0,0
2021-03-23,15:23:31,0,58,0,0,59,0,0
2021-03-23,15:23:34,4,60,0,0,59,0,0
2021-03-23,15:23:37,3,62,0,0,60,0,0
2021-03-23,15:23:39,7,62,0,0,62,0,0
2021-03-23,15:23:42,1,62,0,0,64,0,0
2021-03-23,15:23:44,1,62,0,0,66,0,0
2021-03-23,15:23:52,1,63,0,0,68,0,0
2021-03-23,15:23:57,2,65,0,0,68,0,0
2021-03-23,15:24:04,3,66,0,0,70,0,0
2021-03-23,15:24:05,0,66,0,0,72,0,0
2021-03-23,15:24:10,1,68,0,0,73,0,0
2021-03-23,15:24:14,2,69,0,0,75,0,0
2021-03-23,15:24:16,1,70,0,0,77,0,0
2021-03-23,15:24:26,2,72,0,0,78,0,0
2021-03-23,15:24:29,2,74,0,0,78,0,0
2021-03-23,15:24:34,4,76,0,0,80,0,0
2021-03-23,15:24:35,4,77,0,0,82,0,0
2021-03-23,15:24:37,0,77,0,0,84,0,0
2021-03-23,15:24:40,1,79,0,0,84,0,0
2021-03-23,15:24:44,5,79,0,0,86,0,0
2021-03-23,15:24:46,1,80,0,0,88,0,0
2021-03-23,15:24:49,3,82,0,0,89,0,0
2021-03-23,15:24:55,1,84,0,0,89,0,0
2021-03-23,15:25:01,3,85,0,0,91,0,0
2021-03-23,15:25:04,0,85,0,0,93,0,0
2021-03-23,15:25:07,3,85,0,0,95,0,0
2021-03-23,15:25:12,3,88,0,0,95,0,0
2021-03-23,15:25:17,3,89,0,0,97,0,0
2021-03-23,15:25:19,2,89,0,0,99,0,0
2021-03-23,15:25:22,0,91,0,0,99,0,0
2021-03-23,15:25:26,3,93,0,0,100,0,0
2021-03-23,15:25:30,3,95,0,0,101,0,0
2021-03-23,15:25:32,4,97,0,0,101,0,0
2021-03-23,15:25:33,1,97,0,0,104,0,0
2021-03-23,15:25:35,1,97,0,0,106,0,0
2021-03-23,15:25:37,0,100,0,0,106,0,0
2021-03-23,15:25:39,4,100,0,0,108,0,0
2021-03-23,15:25:46,2,101,0,0,110,0,0
2021-03-23,15:25:48,4,102,0,0,112,0,0
2021-03-23,15:25:51,3,104,0,0,112,0,0
2021-03-23,15:25:59,3,105,0,0,114,0,0
2021-03-23,15:26:02,3,107,0,0,114,0,0
2021-03-23,15:26:04,1,109,0,0,114,0,0
2021-03-23,15:26:09,0,110,0,0,116,0,0
2021-03-23,15:26:15,1,112,0,0,116,0,0
2021-03-23,15:26:25,2,113,0,0,118,0,0
2021-03-23,15:26:31,2,115,0,0,118,0,0
2021-03-23,15:26:33,2,117,0,0,118,0,0
2021-03-23,15:26:35,3,119,0,0,118,0,0
2021-03-23,15:26:38,1,121,0,0,119,0,0
2021-03-23,15:26:41,2,121,0,0,121,0,0
2021-03-23,15:26:51,3,123,0,0,122,0,0
2021-03-23,15:26:53,2,123,0,0,124,0,0
2021-03-23,15:26:58,1,125,0,0,125,0,0
2021-03-23,15:27:09,2,127,0,0,126,0,0
2021-03-23,15:27:11,2,127,0,0,128,0,0
2021-03-23,15:27:14,2,128,0,0,130,0,0
2021-03-23,15:27:18,0,128,0,0,132,0,0
2021-03-23,15:27:26,1,130,0,0,133,0,0
2021-03-23,15:27:34,2,130,0,0,135,0,0
2021-03-23,15:27:44,1,130,0,0,137,0,0
2021-03-23,15:27:51,2,132,0,0,138,0,0
2021-03-23,15:27:58,2,134,0,0,139,0,0
